2017-11-17-10-17-0    UserID [2]    Transaction Complete 
2017-11-17-10-17-0    UserID [1]    Transaction Complete 
2017-11-17-10-17-1    UserID [4]    Transaction Complete 
2017-11-17-10-17-1    UserID [8]    Transaction Complete 
2017-11-17-10-17-1    UserID [9]    Transaction Complete 
2017-11-17-10-17-1    UserID [3]    Transaction Complete 
2017-11-17-10-17-1    UserID [6]    Transaction Complete 
2017-11-17-10-17-1    UserID [5]    Transaction Complete 
2017-11-17-10-17-1    UserID [0]    Transaction Complete 
2017-11-17-10-17-1    UserID [7]    Transaction Complete 
2017-11-17-10-17-1    UserID [4]    Transaction Complete 
2017-11-17-10-17-1    UserID [1]    Transaction Complete 
2017-11-17-10-17-1    UserID [2]    Transaction Complete 
2017-11-17-10-17-1    UserID [3]    Transaction Complete 
2017-11-17-10-17-1    UserID [0]    Transaction Complete 
2017-11-17-10-17-1    UserID [7]    Transaction Complete 
2017-11-17-10-17-1    UserID [9]    Transaction Complete 
2017-11-17-10-17-1    UserID [5]    Transaction Complete 
2017-11-17-10-17-2    UserID [8]    Transaction Complete 
2017-11-17-10-17-2    UserID [6]    Transaction Complete 
2017-11-17-10-17-2    UserID [1]    Transaction Complete 
2017-11-17-10-17-2    UserID [0]    Transaction Complete 
2017-11-17-10-17-2    UserID [2]    Transaction Complete 
2017-11-17-10-17-2    UserID [5]    Transaction Complete 
2017-11-17-10-17-2    UserID [7]    Transaction Complete 
2017-11-17-10-17-2    UserID [3]    Transaction Complete 
2017-11-17-10-17-2    UserID [9]    Transaction Complete 
2017-11-17-10-17-2    UserID [4]    Transaction Complete 
2017-11-17-10-17-2    UserID [6]    Transaction Complete 
2017-11-17-10-17-2    UserID [8]    Transaction Complete 
2017-11-17-10-17-3    UserID [7]    Transaction Complete 
2017-11-17-10-17-3    UserID [0]    Transaction Complete 
2017-11-17-10-17-3    UserID [1]    Transaction Complete 
2017-11-17-10-17-3    UserID [9]    Transaction Complete 
2017-11-17-10-17-3    UserID [6]    Transaction Complete 
2017-11-17-10-17-3    UserID [2]    Transaction Complete 
2017-11-17-10-17-3    UserID [4]    Transaction Complete 
2017-11-17-10-17-3    UserID [5]    Transaction Complete 
2017-11-17-10-17-3    UserID [3]    Transaction Complete 
2017-11-17-10-17-3    UserID [8]    Transaction Complete 
2017-11-17-10-17-3    UserID [0]    Transaction Complete 
2017-11-17-10-17-3    UserID [7]    Transaction Complete 
2017-11-17-10-17-3    UserID [1]    Transaction Complete 
2017-11-17-10-17-3    UserID [4]    Transaction Complete 
2017-11-17-10-17-3    UserID [9]    Transaction Complete 
2017-11-17-10-17-3    UserID [3]    Transaction Complete 
2017-11-17-10-17-3    UserID [6]    Transaction Complete 
2017-11-17-10-17-3    UserID [2]    Transaction Complete 
2017-11-17-10-17-3    UserID [5]    Transaction Complete 
2017-11-17-10-17-4    UserID [7]    Transaction Complete 
2017-11-17-10-17-4    UserID [8]    Transaction Complete 
2017-11-17-10-17-4    UserID [0]    Transaction Complete 
2017-11-17-10-17-4    UserID [1]    Transaction Complete 
2017-11-17-10-17-4    UserID [9]    Transaction Complete 
2017-11-17-10-17-4    UserID [4]    Transaction Complete 
2017-11-17-10-17-4    UserID [6]    Transaction Complete 
2017-11-17-10-17-4    UserID [2]    Transaction Complete 
2017-11-17-10-17-4    UserID [8]    Transaction Complete 
2017-11-17-10-17-4    UserID [5]    Transaction Complete 
2017-11-17-10-17-4    UserID [7]    Transaction Complete 
2017-11-17-10-17-4    UserID [3]    Transaction Complete 
2017-11-17-10-17-4    UserID [0]    Transaction Complete 
2017-11-17-10-17-5    UserID [1]    Transaction Complete 
2017-11-17-10-17-5    UserID [5]    Transaction Complete 
2017-11-17-10-17-5    UserID [8]    Transaction Complete 
2017-11-17-10-17-5    UserID [6]    Transaction Complete 
2017-11-17-10-17-5    UserID [4]    Transaction Complete 
2017-11-17-10-17-5    UserID [9]    Transaction Complete 
2017-11-17-10-17-5    UserID [2]    Transaction Complete 
2017-11-17-10-17-5    UserID [7]    Transaction Complete 
2017-11-17-10-17-5    UserID [3]    Transaction Complete 
2017-11-17-10-17-5    UserID [6]    Transaction Complete 
2017-11-17-10-17-5    UserID [0]    Transaction Complete 
2017-11-17-10-17-5    UserID [1]    Transaction Complete 
2017-11-17-10-17-5    UserID [2]    Transaction Complete 
2017-11-17-10-17-5    UserID [5]    Transaction Complete 
2017-11-17-10-17-5    UserID [4]    Transaction Complete 
2017-11-17-10-17-6    UserID [9]    Transaction Complete 
2017-11-17-10-17-6    UserID [8]    Transaction Complete 
2017-11-17-10-17-6    UserID [7]    Transaction Complete 
2017-11-17-10-17-6    UserID [3]    Transaction Complete 
2017-11-17-10-17-6    UserID [6]    Transaction Complete 
2017-11-17-10-17-6    UserID [1]    Transaction Complete 
2017-11-17-10-17-6    UserID [0]    Transaction Complete 
2017-11-17-10-17-6    UserID [9]    Transaction Complete 
2017-11-17-10-17-6    UserID [5]    Transaction Complete 
2017-11-17-10-17-6    UserID [8]    Transaction Complete 
2017-11-17-10-17-6    UserID [4]    Transaction Complete 
2017-11-17-10-17-6    UserID [2]    Transaction Complete 
2017-11-17-10-17-6    UserID [3]    Transaction Complete 
2017-11-17-10-17-6    UserID [1]    Transaction Complete 
2017-11-17-10-17-6    UserID [7]    Transaction Complete 
2017-11-17-10-17-7    UserID [0]    Transaction Complete 
2017-11-17-10-17-7    UserID [6]    Transaction Complete 
2017-11-17-10-17-7    UserID [9]    Transaction Complete 
2017-11-17-10-17-7    UserID [4]    Transaction Complete 
2017-11-17-10-17-7    UserID [5]    Transaction Complete 
2017-11-17-10-17-7    UserID [8]    Transaction Complete 
2017-11-17-10-17-7    UserID [3]    Transaction Complete 
2017-11-17-10-17-7    UserID [2]    Transaction Complete 
2017-11-17-10-17-7    UserID [0]    Transaction Complete 
2017-11-17-10-17-7    UserID [1]    Transaction Complete 
2017-11-17-10-17-7    UserID [6]    Transaction Complete 
2017-11-17-10-17-7    UserID [7]    Transaction Complete 
2017-11-17-10-17-8    UserID [4]    Transaction Complete 
2017-11-17-10-17-8    UserID [3]    Transaction Complete 
2017-11-17-10-17-8    UserID [8]    Transaction Complete 
2017-11-17-10-17-8    UserID [2]    Transaction Complete 
2017-11-17-10-17-8    UserID [9]    Transaction Complete 
2017-11-17-10-17-8    UserID [5]    Transaction Complete 
2017-11-17-10-17-8    UserID [7]    Transaction Complete 
2017-11-17-10-17-8    UserID [0]    Transaction Complete 
2017-11-17-10-17-8    UserID [1]    Transaction Complete 
2017-11-17-10-17-8    UserID [4]    Transaction Complete 
2017-11-17-10-17-8    UserID [2]    Transaction Complete 
2017-11-17-10-17-8    UserID [3]    Transaction Complete 
2017-11-17-10-17-8    UserID [8]    Transaction Complete 
2017-11-17-10-17-8    UserID [6]    Transaction Complete 
2017-11-17-10-17-8    UserID [9]    Transaction Complete 
2017-11-17-10-17-8    UserID [0]    Transaction Complete 
2017-11-17-10-17-8    UserID [5]    Transaction Complete 
2017-11-17-10-17-9    UserID [7]    Transaction Complete 
